"symbol";"date";"open";"high";"low";"close";"volume";"adjusted"
"AALR3.SA";2022-01-14;13,52;14,45;13,33;14,2;275800;14,2
"AALR3.SA";2022-01-17;14,21;14,66;14,18;14,51;190400;14,51
"AALR3.SA";2022-01-18;14,44;14,51;14,21;14,45;237800;14,45
"AALR3.SA";2022-01-19;14,5;15,35;14,06;14,26;2777000;14,26
"AALR3.SA";2022-01-20;14,5;16,540001;14,5;16,450001;966800;16,450001
"ABCB4.SA";2022-01-14;15,67;15,93;15,2;15,86;1120000;15,86
"ABCB4.SA";2022-01-17;15,9;16,32;15,8;15,86;966800;15,86
"ABCB4.SA";2022-01-18;15,86;16,07;15,72;15,87;573600;15,87
"ABCB4.SA";2022-01-19;16,030001;16,15;15,8;15,99;953500;15,99
"ABCB4.SA";2022-01-20;15,99;16,17;15,75;15,79;644100;15,79
"ABEV3.SA";2022-01-14;14,98;15,21;14,9;15,1;14544400;15,1
"ABEV3.SA";2022-01-17;15,04;15,17;14,79;14,8;21167400;14,8
"ABEV3.SA";2022-01-18;14,74;14,74;14,39;14,58;24913300;14,58
"ABEV3.SA";2022-01-19;14,65;14,68;14,39;14,54;31621600;14,54
"ABEV3.SA";2022-01-20;14,62;14,63;14,43;14,49;30618200;14,49
"AERI3.SA";2022-01-14;6,02;6,07;5,89;6,04;1005000;6,04
"AERI3.SA";2022-01-17;6,04;6,15;5,98;6;612100;6
"AERI3.SA";2022-01-18;6,01;6,03;5,86;5,93;755000;5,93
"AERI3.SA";2022-01-19;6;6,13;5,9;6,08;2007700;6,08
"AERI3.SA";2022-01-20;6,08;6,27;6,04;6,17;1408700;6,17
"AESB3.SA";2022-01-14;10,91;11,18;10,87;11,09;587800;11,09
"AESB3.SA";2022-01-17;11;11,48;11;11,22;830200;11,22
"AESB3.SA";2022-01-18;11,22;11,36;11,01;11,01;1067200;11,01
"AESB3.SA";2022-01-19;11,04;11,23;10,99;11,15;880900;11,15
"AESB3.SA";2022-01-20;11,11;11,5;11,11;11,31;1987900;11,31
"AFLT3.SA";2022-01-14;8,6;8,6;8,58;8,58;500;8,58
"AFLT3.SA";2022-01-17;8,58;8,58;8,58;8,58;0;8,58
"AFLT3.SA";2022-01-18;8,4;8,86;8,4;8,86;2000;8,86
"AFLT3.SA";2022-01-19;8,6;8,86;8,6;8,86;300;8,86
"AFLT3.SA";2022-01-20;8,6;8,84;8,6;8,84;700;8,84
"AGRO3.SA";2022-01-14;27,809999;28,43;27,780001;28,17;343700;28,17
"AGRO3.SA";2022-01-17;28,18;28,4;27,73;27,77;260400;27,77
"AGRO3.SA";2022-01-18;27,77;27,77;27,190001;27,51;304900;27,51
"AGRO3.SA";2022-01-19;27,6;28,42;27,6;28,129999;625800;28,129999
"AGRO3.SA";2022-01-20;28,15;28,790001;27,959999;28,08;651300;28,08
"AGXY3.SA";2022-01-14;10,38;10,38;10,16;10,25;62900;10,25
"AGXY3.SA";2022-01-17;10,39;10,39;9,75;10,25;126500;10,25
"AGXY3.SA";2022-01-18;10,35;10,35;9,92;9,99;79200;9,99
"AGXY3.SA";2022-01-19;10,16;10,17;9,84;9,94;121600;9,94
