"DataRef";"Vencimento";"DU";"Taxa"
"2021-12-30";2021-12-31;1;9,15
"2021-12-30";2022-01-03;2;9,15
"2021-12-30";2022-02-01;23;9,152
"2021-12-30";2022-03-02;42;9,748
"2021-12-30";2022-04-01;64;10,28
"2021-12-30";2022-05-02;83;10,63
"2021-12-30";2022-06-01;105;10,98
"2021-12-30";2022-07-01;126;11,23
"2021-12-30";2022-08-01;147;11,39
"2021-12-30";2022-09-01;170;11,568
"2021-12-30";2022-10-03;191;11,65
"2021-12-30";2022-11-01;211;11,742
"2021-12-30";2022-12-01;231;11,78
"2021-12-30";2023-01-02;253;11,795
"2021-12-30";2023-04-03;316;11,675
"2021-12-30";2023-07-03;377;11,52
"2021-12-30";2023-10-02;441;11,21
"2021-12-30";2024-01-02;502;10,97
"2021-12-30";2024-04-01;563;10,83
"2021-12-30";2024-07-01;626;10,78
"2021-12-30";2024-10-01;692;10,684
"2021-12-30";2025-01-02;756;10,6
"2021-12-30";2025-04-01;817;10,584
"2021-12-30";2025-07-01;878;10,53
"2021-12-30";2025-10-01;944;10,531
"2021-12-30";2026-01-02;1009;10,51
"2021-12-30";2026-04-01;1070;10,554
"2021-12-30";2026-07-01;1131;10,53
"2021-12-30";2026-10-01;1196;10,614
"2021-12-30";2027-01-04;1259;10,61
"2021-12-30";2028-01-03;1510;10,62
"2021-12-30";2029-01-02;1759;10,72
"2021-12-30";2030-01-02;2009;10,785
"2021-12-30";2031-01-02;2262;10,73
"2021-12-30";2033-01-03;2767;10,7
"2021-12-30";2035-01-02;3267;10,684
"2021-12-30";2036-01-02;3517;10,67
"2021-12-30";2037-01-02;3771;10,748
